Country,Legality
DZA,Illegal
EGY,Illegal
MAR,Illegal
NGA,Legal
TZA,Legal
CAF,Legal
MUS,Legal
AGO,Legal
ZAF,Legal
NAM,Some significant concerns
CAN,Some significant concerns
USA,Legal
MEX,Legal
SLV,Legal
JAM,Legal
TTO,Legal
ARG,Some significant concerns
BOL,Illegal
BRA,Legal
CHL,Legal
COL,Some significant concerns
ECU,Some significant concerns
VEN,Legal
KGZ,Legal
UZB,Legal
ARE,Some significant concerns
ISR,Legal
SAU,Some significant concerns
JOR,Some significant concerns
LBN,Legal
TUR,Some significant concerns
QAT,Some significant concerns
IRN,Some significant concerns
BGD,Illegal
IND,Legal
NPL,Illegal
PAK,Legal
CHN,Illegal
HKG,Legal
JPN,Legal
KOR,Legal
TWN,Some significant concerns
KGM,Some significant concerns
IDN,Some significant concerns
MYS,Legal
PHL,Legal
SGP,Legal
THA,Some significant concerns
VNM,Some significant concerns
BRN,Some significant concerns
AUT,Legal
HRV,Legal
CZE,Legal
DEU,Legal
HUN,Legal
POL,Legal
ROU,Legal
SVK,Legal
SVN,Legal
CHE,Legal
ALB,Legal
BLR,Legal
GEO,Legal
KOS,Some significant concerns
RUS,Some significant concerns
UKR,Some significant concerns
DNK,Legal
EST,Legal
FIN,Legal
ISL,Legal
LTU,Legal
NOR,Legal
SWE,Legal
BIH,Legal
BGR,Legal
CYP,Legal
GRC,Legal
ITA,Legal
MLT,Legal
MKD,Legal
PRT,Legal
ESP,Legal
BEL,Legal
Frau,Legal
IRL,Legal
LUX,Legal
NLD,Legal
GBR,Legal
AUS,Legal
NZL,Legal
